date,open,high,low,close,volume
2016-06-22,49.12,49.7199,48.77,49.35,350685
2016-06-23,49.74,51.5,49.74,51.42,542858
2016-06-24,48.56,50.21,48.09,49.62,948394
2016-06-27,49.15,50.16,48.26,48.83,571810
2016-06-28,49.06,50.76,49.05,50.38,409513
2016-06-29,50.48,51.45,50.2,51.31,478352
2016-06-30,51.31,51.98,50.8201,51.87,452356
2016-07-01,51.73,52.95,51.73,52.29,398203
2016-07-05,51.57,52.625,51.21,51.94,501642
2016-07-06,51.63,51.63,50.17,50.24,590576
2016-07-07,50.21,52.79,50.16,52.61,737605
2016-07-08,52.73,53.94,52.65,53.25,651450
2016-07-11,53.5,54.15,53.21,53.59,569165
2016-07-12,54.17,55.02,54.13,54.24,817825
2016-07-13,54.22,54.37,52.26,52.64,574196
2016-07-14,53.0,53.38,52.92,53.12,555685
